 ,,,,,,,,,,Phys-Chem,,,,,,,Caco2 Ellinger,,,,Vero-E6 Zaliani ,,,,Vero-E6 Touret,HRCE Heiser,3CLPro Kuzikov,,Vero-E6 Riva,Bakowski,,,,SARS-CoV Pseudotyped particle entry Vero E6 - NCATS and PubChem (AID:1479145),,,,,SARS-CoV Pseudotyped particle entry Vero E6 (Tox counterscreen)- NCATS and PubChem (AID:1479150),,,,,,MERS Pseudotyped particle entry Huh7 - NCATS and PubChem (AID:1479149),,,,,MERS Pseudotyped particle entry Huh7 (Tox counterscreen) - NCATS and PubChem (AID:1479147),,,,,,"SARS-CoV-2 cytopathic effect (CPE) - NCATS, PubChem (AID:1508606) and Chen",,,,,,,"SARS-CoV-2 cytopathic effect (CPE)(Tox counterscreen) - NCATS, PubChem (AID:1508605) and Chen",,,,,,,,Activity ranks,PK/PD,,,,,,,Red Flags,,,,,,
Name,Indication (1),Pathway (1),Target (1),MOA(1),EC50 value,IC50 value,pIC50 value,type,SMILES,MW,logP,HBA,HBD,RotBonds,PSA,NoChiralCentres,% inhibition,IC50 (nM),CC50 (nM),Caco2 Selectivity index,% inhibition,IC50 (nM),CC50 (nM),Selectivity index,Inhibition index,Hit score,% inihibition,IC50 (nM),%Viral inhibition,Calu3 EC50 GeoMean (µM),HeLa-ACE2 EC50 GeoMean (µM),HEK293T CC50 GeoMean (µM),HepG2 CC50 GeoMean (µM),AC50 (μM),AUC,"Potency (μM) Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Efficacy (%) Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Activity,AC50 (μM),AUC,"Potency (μM) Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Efficacy (%) Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Activity,Tox,AC50 (μM),AUC,"Potency (μM) Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Efficacy (%) Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Activity,AC50 (μM),AUC,"Potency (μM) Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Efficacy (%) Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Activity,Tox,AC50 (μM),AUC,"Potency (μM) Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Efficacy (%) Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Activity,CPE EC50 (uM),CPE % Efficacy,AC50 (μM),AUC,"Potency (μM) Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Efficacy (%) Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Activity,Tox,Cytotox CC50 (uM),% Cytotox,Rank score,Administration route,Cmax,protein-binding,Vd (Volume of distribution),CL (Clearance),t_half (Half-life),BA (Bioavailability),Drug interactions,Contraindications,Pregnancy concerns,Breast feeding,Side effects,Predicted CAD (Cationic amphiphile) induced phospholipidosis,PAINS
Tolterodine (tartrate),"Urinary antispasmodics, Overactive bladder agent","Calcium signaling pathway, Neuroactive ligand-receptor interaction, Cholinergic synapse","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",acetylcholine receptor antagonist,,,8.2006,pIC50,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,475.582,3.21882,6,5,10,138.53,3,,,,,,,,,1.165,,,,,,,,,39.81071706,-10.0597169,,,,0,-139.3818361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02716049383,Oral,,96.30%,113 ± 26.7L,,1.9-3.7h,,None,Urinary/gastric retention; uncontrolled narrow angle glaucome;,Category B3,Not recommended,NA,,
Palonosetron (Hydrochloride),Anti-emetic,Serotonergic synapse,HTR3A,serotonin receptor antagonist,,,,Ki,Cl.O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,332.875,3.0783,2,0,1,23.55,4,57.4,,,,0.02,,,,0.9614,0.1883,-0.9864,,,,,,,0,-37.19548142,0,0,Inactive,0,0.9017623453,0,0,Inactive,Inactive,28.18382931,-83.07818418,28.1838,42.755,Inconclusive,0,-12.23620792,0,0,Inactive,Inactive,0,-1.975933887,,,,,,0,-30.35097602,,,,,,,0.2313175473,Oral,,62%,8.3 ± 2.5 L/kg,160 ± 35mL/h/kg,~40h,,Apomorphine,"Hypersensitivity; When co-administered with apomorphine, causes hypotension and loss of consciousness",Category B1,Use with caution,NA,,
Dapoxetine (hydrochloride),Antidepressant,Serotonergic synapse,"HTR1A, HTR1B, HTR2C, SLC6A4",selective serotonin reuptake inhibitor (SSRI),,,,,CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1.Cl,341.882,5.3334,2,0,6,12.47,1,65.1,,,,0.09,,,,,,5.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2358875108,,,,,,1-2h,,NA,NA,Category C,Not recommended,None,,
Solifenacin (Succinate),Attention Deficit Hyperactivity Disorder Agent,Synaptic vesicle cycle,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",acetylcholine receptor antagonist,,,7.197,pIC50,O=C(O)CCC(=O)O.O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,480.561,3.8007,5,2,5,107.38,4,15.21,,,,0.15,,,,,,22.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2886450105,Oral,,93-96%,600L,7-14L/h,33-85h,,Itraconazole; Lefamulin,Hypersensitivity; gastric retension; narrow-angle glaucoma,Category B3,Not recommended,NA,,
Indinavir (sulfate),Anti-HIV,Protein biosynthesis,"CYP3A4, CYP3A5, CYP3A7",HIV protease inhibitor,,150,6.824,pIC50,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O=S(=O)(O)O,711.882,2.2141,9,6,11,192.63,5,,,,,,,,,0.3816,,,,,,,,,0,-99.34935433,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,6.044445246,0,0,Inactive,0,0.6603335219,0,0,Inactive,Inactive,0,16.6195617,,,,,,0,-22.93077735,,,,,,,0.3074074074,Oral,,60%,,,1.8h,,Alfuzosin; amiodarone; cobicistat; cobimetinib; conivaptan; dihydroergotamine; dihydroergotamine intranasal; eliglustat; elvitegravir/cobicistat/emtricitabine/tenofovir DF; ergoloid mesylates; ergonovine; etravirine; finerenone; flibanserin; irinotecan; irinotecan liposomal; isavuconazonium sulfate; ivabradine; lomitapide; lonafarnib; lovastatin; lurasidone; methylergonovine; naloxegol; regorafenib; salmeterol; simvastatin; St John's Wort; tipranavir; venetoclax; voclosporin,Hypersensitivity,Category B3,Not recommended,None,,
Tiagabine (hydrochloride),Anticonvulsants,GABAergic synapse,SLC6A1,GABA uptake inhibitor,,,6.829,pIC50,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C.Cl,412.02,5.46664,4,1,6,40.54,1,31.5,,,,0.01,,,,0.2483,,-8.564,,,,,,,3.981071706,-23.56476591,3.9811,37.5546,Inconclusive,0,-6.606118034,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,10.91633539,0,0,Inactive,Inactive,0,-2.59636294,,,,,,0,-33.52579994,,,,,,,0.3642156587,Oral,,96%,,109 mL/min [Healthy subjects],7-9 hours,,None,Hypersensitivity,Category B3,Use with caution,NA,,
Ethambutol (dihydrochloride),Antibacterial (tuberculostatic),NA,,bacterial cell wall synthesis inhibitor,,,6.209,pIC50,CC[C@@H](CO)NCCN[C@@H](CC)CO.Cl.Cl,277.236,0.551,4,4,9,64.52,2,8.87,,,,0.05,,,,,,21.74,,,,,,,0,-86.39508515,0,0,Inactive,0,4.141143292,0,0,Inactive,Inactive,0,5.762307416,0,0,Inactive,0,1.05984262,0,0,Inactive,Inactive,0,-2.452928521,,,,,,0,-16.78227429,,,,,,,0.3850432766,Oral, 2-5 µg/mL,Ethambutol is 20-30% bound to protein in plasma. Data regarding which proteins ethambutol binds to are not readily available,Patients coinfected with tuberculosis and HIV have an estimated ethambutol volume of distribution of 76.2 L,Patients coinfected with tuberculosis and HIV have an estimated ethambutol oral clearance of 77.4 L/h,"Ethambutol has a half life of 3.3 hours in patients with normal renal function. In patients with renal failure, the half life could be 7 hours or longer",75-80%,None,Hypersensitivity; Optic neuritis; changes in vision,Category A,Recommended,NA,,
Telotristat etiprate,Antidiarrheal,"Tryptophan metabolism, Seratonergic synapse",TPH1,tryptophan hydroxylase inhibitor,,,7.796,pIC50,CCOC(=O)[C@@H](N)Cc1ccc(-c2cc(O[C@H](c3ccc(Cl)cc3-n3ccc(C)n3)C(F)(F)F)nc(N)n2)cc1.O=C(O)CNC(=O)c1ccccc1,754.166,5.48962,11,4,12,197.57,2,3.02,,,,0.17,,,,,,8.235,,,,,,,39.81071706,-68.04863548,0,0,Inactive,0,-19.81621671,0,0,Inactive,Inactive,0,4.186659697,0,0,Inactive,0,1.158913405,0,0,Inactive,Inactive,0,13.9536923,,,,,,0,-10.74923334,,,,,,,0.406824053,Oral,,"High plasma protein binding of its active metabolite, Telotristat.",,,4–12 h,,NA,NA,Category B3,Not recommended,NA,,
Pergolide (mesylate),Antiparkinsonian,"Neuroactive ligand-receptor interaction, Dopaminergic synapse","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C",dopamine receptor agonist,,,,Ki,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O,410.605,3.7751,4,2,4,73.4,3,1.63,,,,-0.14,,,,1.047,,0.07731,,,,,,,0,-36.7887671,0,0,Inactive,0,0.2036049352,0,0,Inactive,Inactive,39.81071706,-17.85025251,39.8107,49.898,Inconclusive,0,0,0,0,Inactive,Inactive,0,1.585786295,,,,,,0,-18.38445142,,,,,,,0.479682924,Oral,,90%,,,27 h,,NA,NA,Category C,NA,NA,,
